Original Frame,Matched Frame,Similarity Score,Difference to 1.0
frame_000047.png,frame_000083.png,0.9999451935336655,5.480646633448938e-05
frame_000048.png,frame_000083.png,0.9999455635411167,5.443645888325577e-05
frame_000049.png,frame_000083.png,0.9999455884956685,5.441150433149744e-05
frame_000050.png,frame_000083.png,0.9999449950567639,5.500494323606997e-05
frame_000051.png,frame_000083.png,0.9999446325164459,5.5367483554058516e-05
frame_000052.png,frame_000083.png,0.9999449824068223,5.5017593177719704e-05
frame_000053.png,frame_000083.png,0.999944914099648,5.508590035196992e-05
frame_000054.png,frame_000083.png,0.9999446460734374,5.5353926562640154e-05
frame_000055.png,frame_000083.png,0.9999450315665761,5.496843342389646e-05
frame_000056.png,frame_000083.png,0.9999449571467891,5.504285321089597e-05
frame_000057.png,frame_000083.png,0.9999446388198143,5.536118018567571e-05
frame_000058.png,frame_000083.png,0.9999450233483033,5.497665169673649e-05
frame_000059.png,frame_000083.png,0.9999449626842213,5.503731577871651e-05
frame_000060.png,frame_000083.png,0.9999446343724697,5.5365627530279404e-05
frame_000061.png,frame_000083.png,0.9999450366896792,5.496331032084356e-05
frame_000062.png,frame_000083.png,0.999944970938638,5.50290613620108e-05
frame_000063.png,frame_000083.png,0.999944644286881,5.535571311898746e-05
frame_000064.png,frame_000083.png,0.9999450234773366,5.497652266339692e-05
frame_000065.png,frame_000083.png,0.9999449703188266,5.502968117343521e-05
frame_000066.png,frame_000083.png,0.9999446359454643,5.536405453565596e-05
frame_000067.png,frame_000083.png,0.9999450339225202,5.496607747978999e-05
frame_000068.png,frame_000083.png,0.9999449569982328,5.504300176717436e-05
frame_000069.png,frame_000083.png,0.999944634409892,5.536559010799191e-05
frame_000070.png,frame_000083.png,0.9999450107519277,5.498924807234573e-05
frame_000071.png,frame_000083.png,0.9999449267538908,5.5073246109205165e-05
frame_000072.png,frame_000083.png,0.9999446133533918,5.538664660820203e-05
frame_000073.png,frame_000083.png,0.9999450218520468,5.497814795318856e-05
frame_000074.png,frame_000083.png,0.9999449478505178,5.505214948220427e-05
frame_000075.png,frame_000083.png,0.9999446603709815,5.533962901849154e-05
frame_000076.png,frame_000083.png,0.9999449894762745,5.501052372547388e-05
frame_000077.png,frame_000083.png,0.9999449003749863,5.509962501371035e-05
frame_000078.png,frame_000083.png,0.9999446231964697,5.537680353029373e-05
frame_000079.png,frame_000083.png,0.9999449838730238,5.5016126976226154e-05
frame_000080.png,frame_000083.png,0.999944934965203,5.506503479701941e-05
frame_000081.png,frame_000083.png,0.9999446309828742,5.536901712577258e-05
frame_000082.png,frame_000083.png,0.9999449853424968,5.501465750323842e-05
frame_000083.png,frame_000083.png,0.9999449337253689,5.5066274631143663e-05
frame_000084.png,frame_000083.png,0.9999446309828742,5.536901712577258e-05
frame_000085.png,frame_000083.png,0.9999449853424968,5.501465750323842e-05
frame_000086.png,frame_000083.png,0.9999449337253689,5.5066274631143663e-05
frame_000087.png,frame_000083.png,0.9999446309828742,5.536901712577258e-05
frame_000088.png,frame_000083.png,0.9999449853424968,5.501465750323842e-05
frame_000089.png,frame_000083.png,0.9999449337253689,5.5066274631143663e-05
frame_000090.png,frame_000083.png,0.9999446309828742,5.536901712577258e-05
frame_000091.png,frame_000083.png,0.9999449853424968,5.501465750323842e-05
frame_000092.png,frame_000083.png,0.9999449337253689,5.5066274631143663e-05
frame_000093.png,frame_000083.png,0.9999446309828742,5.536901712577258e-05
frame_000094.png,frame_000083.png,0.9999449853424968,5.501465750323842e-05
frame_000095.png,frame_000083.png,0.9999449337253689,5.5066274631143663e-05
frame_000096.png,frame_000083.png,0.9999446309828742,5.536901712577258e-05
frame_000097.png,frame_000083.png,0.9999449853424968,5.501465750323842e-05
frame_000098.png,frame_000083.png,0.9999449337253689,5.5066274631143663e-05
frame_000099.png,frame_000083.png,0.9999446309828742,5.536901712577258e-05
frame_000100.png,frame_000083.png,0.9999449853424968,5.501465750323842e-05
frame_000101.png,frame_000083.png,0.9999449337253689,5.5066274631143663e-05
frame_000102.png,frame_000083.png,0.9999445155387934,5.548446120662298e-05
frame_000103.png,frame_000083.png,0.9999448699199109,5.513008008906084e-05
frame_000104.png,frame_000083.png,0.999944818396139,5.518160386097648e-05
frame_000105.png,frame_000083.png,0.9999445155387934,5.548446120662298e-05
frame_000106.png,frame_000083.png,0.9999448693639434,5.5130636056555105e-05
frame_000107.png,frame_000089.png,0.999998741173641,1.2588263590407323e-06
frame_000107.png,frame_000091.png,0.9999998596605332,1.4033946682534548e-07
frame_000108.png,frame_000091.png,0.9999998596605332,1.4033946682534548e-07
frame_000109.png,frame_000091.png,0.9999998596605332,1.4033946682534548e-07
frame_000110.png,frame_000091.png,0.9999998596605332,1.4033946682534548e-07
frame_000111.png,frame_000091.png,0.9999998596605332,1.4033946682534548e-07
frame_000112.png,frame_000091.png,0.9999998596605332,1.4033946682534548e-07
frame_000113.png,frame_000091.png,0.9999998596605332,1.4033946682534548e-07
frame_000114.png,frame_000091.png,0.9999998596605332,1.4033946682534548e-07
frame_000115.png,frame_000091.png,0.9999998596605332,1.4033946682534548e-07
frame_000116.png,frame_000091.png,0.9999998596605332,1.4033946682534548e-07
frame_000117.png,frame_000091.png,0.9999998596605332,1.4033946682534548e-07
frame_000118.png,frame_000091.png,0.9999998596605332,1.4033946682534548e-07
frame_000119.png,frame_000091.png,0.9999998596605332,1.4033946682534548e-07
frame_000120.png,frame_000091.png,0.9999998596605332,1.4033946682534548e-07
frame_000121.png,frame_000091.png,0.9999998596605332,1.4033946682534548e-07
frame_000122.png,frame_000091.png,0.9999998596605332,1.4033946682534548e-07
